163,90,214,144,1
164.59,92.161,212.4,142.79,0.75492
162.37,96.266,210.13,146.84,0.84522
158.98,97.788,209.18,150.95,0.90188
159.8,100.74,201.84,145.27,0.51392
157.05,100.75,198.49,144.63,0.48887
156.92,97.692,196.45,139.57,0.46938
153.29,91.744,196.39,137.39,0.60156
149.77,87.926,198.41,139.42,0.9098
150.74,89.305,197.98,139.38,0.87943
147.97,89.45,195.12,139.43,0.80867
138.83,86.618,190.33,141.19,0.79803
134.1,89.381,185.62,143.97,0.8007
128.3,90.885,180.85,146.58,0.78255
123.07,89.246,177.24,146.7,0.7159
122.13,86.754,176.59,144.52,0.72763
121.31,82.69,177.15,141.97,0.72801
123.08,82.227,178.63,141.2,0.70467
125.52,82.039,181.5,141.47,0.71253
127.69,83.516,183.85,143.19,0.72272
129.95,85.476,186.83,145.9,0.67172
130.5,88.438,187.24,148.73,0.68773
131,90.022,187.81,150.39,0.73487
133.04,91.441,188.97,150.85,0.72516
133.58,93.589,188.44,151.85,0.80178
135.05,95.433,189.47,153.2,0.76249
133.64,93.689,188.63,152.1,0.74505
135.35,88.387,190.54,147.02,0.68464
138.55,83.187,193.67,141.73,0.68895
143.66,77.629,198.99,136.39,0.75857
147.88,73.973,203.83,133.41,0.6983
152.86,72.013,209.56,132.26,0.77261
157.47,71.397,213.75,131.19,0.77313
161.28,70.701,217.59,130.52,0.69207
163.17,73.182,219.72,133.26,0.74137
164.09,75.583,220.97,136.02,0.68552
163.96,76.475,219.9,135.9,0.76775
162.3,75.489,218.02,134.68,0.74998
159.97,72.288,216.12,131.96,0.75891
156.46,69.346,212.18,128.53,0.76209
153.03,67.038,209.1,126.59,0.78934
149.86,69.185,205.66,128.47,0.76238
142.86,73.666,199.31,133.64,0.77719
136.82,77.449,193.08,137.22,0.78112
132.73,78.676,189.59,139.09,0.76379
129.06,78.227,186.68,139.48,0.74434
125.92,77.833,184.23,139.85,0.75695
123.4,78.105,182.13,140.55,0.69033
122.02,78.913,180.6,141.23,0.62449
121.72,76.879,180,138.87,0.70383
124.1,72.253,180.62,132.33,0.70465
125.97,68.074,181.75,127.34,0.69132
130.03,66.983,186.89,127.39,0.68928
132.65,68.636,189.25,128.78,0.69902
135.02,73.587,191.07,133.15,0.69063
136.14,78.457,192.94,138.82,0.68569
138.75,82.749,195.53,143.09,0.66694
142.79,86.667,199.52,146.94,0.65005
145.99,88.961,202.56,149.07,0.69696
149.39,86.987,205.56,146.64,0.71053
154.57,81.722,210.98,141.65,0.6889
157.99,74.947,214.8,135.32,0.69118
161.8,69.907,219.85,131.62,0.67268
163.1,67.337,221.13,129.04,0.68138
164.78,67.421,222.3,128.59,0.6812
164.51,74.293,221.36,134.73,0.67536
160.74,78.205,217.58,138.63,0.72959
158.4,79.528,214.95,139.64,0.69799
157.27,82.732,211.38,140.17,0.65341
157.03,83.324,211.37,141.03,0.84275
154.73,82.785,209.13,140.55,0.80717
154.39,79.277,209.5,137.81,0.68125
155.86,75.504,210.97,134.04,0.6462
156.4,75.61,211.13,133.73,0.68997
156.58,80.521,211.14,138.46,0.68387
154.61,85.381,208.63,142.73,0.6863
151.59,85.249,206.73,143.81,0.74143
150.31,84.715,206.25,144.15,0.72177
149.64,86.299,205.28,145.42,0.69332
148.68,87.351,205.08,147.27,0.69862
147,87.804,202.69,146.96,0.72861
143.13,85.64,198.3,144.21,0.71482
138.95,82.481,193.74,140.65,0.6847
137.68,79.473,193.42,138.68,0.68882
138.52,78.327,193.78,137.01,0.64697
137.12,82.591,191.97,140.84,0.70008
136.28,88.077,191.13,146.35,0.69759
136.76,91.189,192.38,150.29,0.68771
138.33,94.976,193.28,153.33,0.68909
141.23,99.034,196.03,157.22,0.73659
143.38,97.98,198.95,157,0.69928
145.66,92.362,201.06,151.17,0.68131
149.44,82.492,205.96,142.53,0.7223
152.86,76.682,209.43,136.78,0.71775
158,73.125,214.79,133.46,0.66496
162.08,71.673,219.58,132.8,0.66362
163.51,74.057,220.39,134.53,0.58602
164.99,77.264,221.49,137.3,0.63789
166.98,78.112,223.89,138.62,0.62192
168.93,79.173,225.25,139.02,0.61394
168.9,80.111,224.64,139.34,0.62834
168.87,79.804,224.41,138.82,0.63799
169.17,79.863,224.05,138.17,0.59928
169.09,79.807,224.1,138.26,0.66463
166.54,79.747,221.26,137.88,0.64617
164.56,77.108,219.6,135.58,0.64897
163.66,78.563,219.05,137.41,0.64212
159.64,83.295,214.57,141.62,0.61066
156.59,85.818,211.18,143.77,0.62105
152.7,85.827,208.06,144.62,0.61859
149.71,87.766,205.17,146.66,0.58974
145.23,90.51,200.67,149.4,0.62665
141.67,88.846,196.77,147.35,0.60513
141.47,84.873,196.17,142.94,0.59806
143.13,82.126,197.93,140.31,0.61444
143.79,80.841,199.23,139.73,0.59654
144.24,81.221,198.95,139.31,0.59224
144.5,81.495,199.92,140.35,0.60075
144.41,82.682,198.89,140.52,0.62344
144.61,83.594,200.14,142.57,0.62186
145.26,85.776,201.51,145.54,0.65733
146.04,88.448,202.9,148.87,0.65361
148.55,87.249,204.96,147.18,0.58837
151.7,84.546,208.18,144.55,0.58316
154.21,81.575,210.49,141.37,0.55304
157.05,78.785,213.45,138.71,0.46752
161.26,76.474,218.33,137.1,0.42637
166.39,74.777,223.19,135.11,0.42835
170.72,73.981,227.72,134.55,0.43067
173.13,74.525,229.85,134.79,0.42235
174.28,76.1,230.79,136.15,0.43104
176.22,77.489,232.19,136.95,0.45055
176.77,77.642,231.76,136.04,0.43674
177.37,76.662,232.25,134.93,0.44945
175.93,76.018,230.71,134.21,0.46655
174.63,74.776,229.16,132.7,0.43674
174.6,72.44,228.18,129.32,0.43498
176.43,68.315,229.96,125.14,0.43726
178.84,66.928,231.93,123.25,0.44772
178.35,65.59,230.68,121.09,0.45127
175.49,64.627,228.16,120.48,0.47337
170.7,63.17,224.29,120.03,0.47846
168.62,65.536,221.42,121.54,0.50979
164.61,67.742,218.09,124.49,0.52823
160.87,69.158,215.25,126.88,0.53103
156.27,69.1,211.08,127.3,0.52681
154.63,67.337,210.31,126.5,0.46498
153.07,63.466,207.58,121.33,0.45688
150.19,57.6,205.01,115.81,0.42937
148.05,55.308,203.19,113.85,0.44346
148.41,54.229,203.38,112.59,0.44644
145.88,53.333,202.11,113.04,0.48635
146.05,54.632,202.97,115.09,0.50695
146.46,56.651,203.65,117.4,0.50196
146.04,62.252,202.85,122.6,0.51581
146.51,66.772,204.17,128.03,0.52997
147.33,69.075,205.57,130.96,0.53413
147.28,67.702,205.89,129.99,0.52823
148.62,65.056,208.39,128.57,0.52634
148.32,61.294,209.52,126.33,0.53295
147.41,57.546,209.42,123.49,0.50957
148.73,53.938,212.19,121.39,0.43027
148.44,50.452,212.04,118.06,0.43822
147.31,48.695,213,118.41,0.43757
145.07,48.826,212.19,119.96,0.4417
143.84,50.68,211.07,121.91,0.45363
142.72,53.142,208.35,122.78,0.46168
142.75,58.468,206.79,126.48,0.4289
141.52,62.09,205.33,129.88,0.4298
140.95,65.08,204.6,132.69,0.43561
141.96,66.602,205.33,133.9,0.44995
139.98,64.28,204.76,133.01,0.43571
141.91,60.087,205.81,127.94,0.43346
141.8,55.215,205.64,123.02,0.44364
140.16,51.377,204.79,119.98,0.44445
138.91,48.643,203.12,116.79,0.40045
137.73,47.635,201.6,115.42,0.37764
137,48.071,200.35,115.31,0.38272
138.94,50.608,201.98,117.53,0.38623
142.23,54.058,204.04,119.75,0.39887
144.29,54.874,205.8,120.29,0.41717
144.45,59.406,204.13,122.88,0.39835
144.33,62.087,202.94,124.42,0.38548
140.88,64.543,198.95,126.31,0.389
137.79,65.552,195.37,126.79,0.3756
134.41,66.629,190.53,126.26,0.37559
130.81,64.736,186.17,123.53,0.37355
130.11,63.275,184.76,121.3,0.37168
126.89,61.823,181.29,119.59,0.40429
124.18,60.942,178.96,119.11,0.38892
120.37,60.529,175.57,119.16,0.39875
120.54,60.97,175.39,119.22,0.39927
120.82,61.863,176.03,120.51,0.39528
122.69,61.615,177.92,120.27,0.40974
127.07,59.809,181.39,117.46,0.42881
131.6,55.357,185.81,112.9,0.42216
135.85,51.194,190.87,109.62,0.40938
137.14,48.961,191.86,107.06,0.39791
137.54,43.304,193.19,102.42,0.40918
